date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-08-31,2027-08-31T17:58:51.261737+10:00,2027-09-01T00:18:51.261737+10:00,390.0,88.54,excellent
2027-09-01,2027-09-01T17:59:17.059312+10:00,2027-09-02T00:09:17.059312+10:00,380.0,88.19,excellent
2027-09-02,2027-09-02T17:59:42.825087+10:00,2027-09-03T00:09:42.825087+10:00,380.0,88.55,excellent
2027-09-03,2027-09-03T18:00:08.568736+10:00,2027-09-04T00:10:08.568736+10:00,380.0,88.32,excellent
2027-09-04,2027-09-04T18:00:34.300313+10:00,2027-09-05T00:00:34.300313+10:00,370.0,88.5,excellent
2027-09-05,2027-09-05T22:25:00+10:00,2027-09-05T23:55:00+10:00,100.0,40.44,excellent
2027-09-06,2027-09-06T23:27:00+10:00,2027-09-06T23:57:00+10:00,40.0,26.51,excellent
2027-09-07,2027-09-07T18:01:51.528373+10:00,2027-09-07T23:51:51.528373+10:00,360.0,88.53,excellent
2027-09-18,2027-09-18T18:06:39.642131+10:00,2027-09-18T19:46:39.642131+10:00,110.0,85.49,excellent
2027-09-19,2027-09-19T18:07:06.598957+10:00,2027-09-19T20:47:06.598957+10:00,170.0,84.57,excellent
2027-09-20,2027-09-20T18:07:33.740968+10:00,2027-09-20T21:47:33.740968+10:00,230.0,83.63,excellent
2027-09-21,2027-09-21T18:08:01.081869+10:00,2027-09-21T22:48:01.081869+10:00,290.0,82.68,excellent
2027-09-22,2027-09-22T18:08:28.635420+10:00,2027-09-22T22:48:28.635420+10:00,290.0,81.73,excellent
2027-09-23,2027-09-23T18:08:56.415414+10:00,2027-09-23T22:48:56.415414+10:00,290.0,80.78,excellent
2027-09-24,2027-09-24T18:09:24.435656+10:00,2027-09-24T22:39:24.435656+10:00,280.0,79.82,excellent
2027-09-25,2027-09-25T18:09:52.709947+10:00,2027-09-25T22:39:52.709947+10:00,280.0,78.85,excellent
2027-09-26,2027-09-26T18:10:21.252056+10:00,2027-09-26T22:30:21.252056+10:00,270.0,77.89,excellent
2027-09-27,2027-09-27T18:10:50.075703+10:00,2027-09-27T22:30:50.075703+10:00,270.0,76.92,excellent
2027-09-28,2027-09-28T18:11:19.194533+10:00,2027-09-28T22:31:19.194533+10:00,270.0,75.95,excellent
2027-09-29,2027-09-29T18:11:48.622094+10:00,2027-09-29T22:21:48.622094+10:00,260.0,74.99,excellent
2027-09-30,2027-09-30T18:12:18.371811+10:00,2027-09-30T22:22:18.371811+10:00,260.0,74.01,excellent
2027-10-01,2027-10-01T18:12:48.456961+10:00,2027-10-01T22:12:48.456961+10:00,250.0,73.04,excellent
2027-10-02,2027-10-02T18:13:18.890648+10:00,2027-10-02T22:13:18.890648+10:00,250.0,72.07,excellent
2027-10-03,2027-10-03T18:13:49.685773+10:00,2027-10-03T22:03:49.685773+10:00,240.0,71.09,excellent
2027-10-04,2027-10-04T18:14:20.855006+10:00,2027-10-04T22:04:20.855006+10:00,240.0,70.12,excellent
2027-10-06,2027-10-06T18:15:24.365157+10:00,2027-10-06T21:55:24.365157+10:00,230.0,68.16,excellent
2027-10-17,2027-10-17T18:21:45.250849+10:00,2027-10-17T19:31:45.250849+10:00,80.0,57.31,excellent
2027-10-18,2027-10-18T18:22:22.782968+10:00,2027-10-18T20:42:22.782968+10:00,150.0,56.32,excellent
2027-10-19,2027-10-19T18:23:00.829293+10:00,2027-10-19T21:03:00.829293+10:00,170.0,55.33,excellent
2027-10-20,2027-10-20T18:23:39.394163+10:00,2027-10-20T21:03:39.394163+10:00,170.0,54.33,excellent
2027-10-21,2027-10-21T18:24:18.481066+10:00,2027-10-21T20:54:18.481066+10:00,160.0,53.34,excellent
2027-10-22,2027-10-22T18:24:58.092595+10:00,2027-10-22T20:54:58.092595+10:00,160.0,52.34,excellent
2027-10-23,2027-10-23T18:25:38.230412+10:00,2027-10-23T20:45:38.230412+10:00,150.0,51.34,excellent
2027-10-24,2027-10-24T18:26:18.895204+10:00,2027-10-24T20:46:18.895204+10:00,150.0,50.34,excellent
2027-10-25,2027-10-25T18:27:00.086640+10:00,2027-10-25T20:37:00.086640+10:00,140.0,49.34,excellent
2027-10-26,2027-10-26T18:27:41.803337+10:00,2027-10-26T20:37:41.803337+10:00,140.0,48.34,excellent
2027-10-27,2027-10-27T18:28:24.042816+10:00,2027-10-27T20:28:24.042816+10:00,130.0,47.34,excellent
2027-10-28,2027-10-28T18:29:06.801464+10:00,2027-10-28T20:29:06.801464+10:00,130.0,46.34,excellent
2027-10-29,2027-10-29T18:29:50.074500+10:00,2027-10-29T20:29:50.074500+10:00,130.0,45.34,excellent
2027-10-30,2027-10-30T18:30:33.855935+10:00,2027-10-30T20:20:33.855935+10:00,120.0,44.33,excellent
2027-10-31,2027-10-31T18:31:18.138541+10:00,2027-10-31T20:21:18.138541+10:00,120.0,43.33,excellent
2027-11-01,2027-11-01T18:32:02.913818+10:00,2027-11-01T20:12:02.913818+10:00,110.0,42.33,excellent
2027-11-02,2027-11-02T18:32:48.171959+10:00,2027-11-02T20:12:48.171959+10:00,110.0,41.32,excellent
2027-11-03,2027-11-03T18:33:33.901830+10:00,2027-11-03T20:03:33.901830+10:00,100.0,40.32,excellent
2027-11-04,2027-11-04T18:34:20.090934+10:00,2027-11-04T20:04:20.090934+10:00,100.0,39.31,excellent
2027-11-05,2027-11-05T18:35:06.725397+10:00,2027-11-05T19:55:06.725397+10:00,90.0,38.31,excellent
2027-11-16,2027-11-16T18:44:03.700547+10:00,2027-11-16T19:14:03.700547+10:00,40.0,27.29,excellent
2027-11-17,2027-11-17T18:44:54.075748+10:00,2027-11-17T19:14:54.075748+10:00,40.0,26.3,excellent
2027-11-18,2027-11-18T18:45:44.585439+10:00,2027-11-18T19:05:44.585439+10:00,30.0,25.3,excellent
2027-11-19,2027-11-19T18:46:35.195848+10:00,2027-11-19T19:06:35.195848+10:00,30.0,24.31,useful
2027-11-20,2027-11-20T18:47:25.871912+10:00,2027-11-20T18:57:25.871912+10:00,20.0,23.33,useful
2027-11-21,2027-11-21T18:48:16.577314+10:00,2027-11-21T18:58:16.577314+10:00,20.0,22.34,useful
2027-11-22,2027-11-22T18:49:07.274533+10:00,2027-11-22T18:49:07.274533+10:00,10.0,21.36,useful
2027-11-23,2027-11-23T18:49:57.924892+10:00,2027-11-23T18:49:57.924892+10:00,10.0,20.38,useful
